Дата,Открытие,Закрытие,Мин,Макс,
18.09.2018,110060,110070,110040,110100,
18.09.2018,110070,110080,110060,110110,
18.09.2018,110070,110060,110060,110130,
18.09.2018,110100,110090,110070,110110,
18.09.2018,110090,110060,110060,110120,
18.09.2018,110070,110010,109980,110070,
18.09.2018,110020,110120,110020,110160,
18.09.2018,110150,110150,110110,110180,
18.09.2018,110150,110180,110150,110190,
18.09.2018,110200,110140,110120,110240,
18.09.2018,110160,110200,110150,110210,
18.09.2018,110200,110200,110200,110280,
18.09.2018,110200,110220,110180,110250,
18.09.2018,110210,110190,110190,110220,
18.09.2018,110190,110190,110190,110230,
18.09.2018,110190,110240,110190,110270,
18.09.2018,110260,110260,110230,110270,
18.09.2018,110260,110210,110210,110280,
18.09.2018,110220,110220,110220,110300,
18.09.2018,110230,110270,110210,110270,
18.09.2018,110280,110260,110260,110280,
18.09.2018,110260,110250,110240,110270,
18.09.2018,110250,110300,110240,110320,
18.09.2018,110300,110310,110250,110320,
18.09.2018,110320,110330,110320,110350,
18.09.2018,110320,110290,110280,110320,
18.09.2018,110290,110280,110250,110300,
18.09.2018,110290,110240,110220,110290,
18.09.2018,110240,110190,110190,110240,
18.09.2018,110190,110200,110140,110230,
18.09.2018,110200,110170,110150,110220,
18.09.2018,110170,110170,110150,110170,
18.09.2018,110180,110200,110160,110200,
18.09.2018,110180,110190,110160,110200,
18.09.2018,110180,110150,110140,110180,
18.09.2018,110150,110110,110100,110150,
18.09.2018,110100,110100,110090,110120,
18.09.2018,110100,110070,110050,110100,
18.09.2018,110070,110080,110060,110080,
18.09.2018,110080,110110,110080,110110,
18.09.2018,110160,110180,110150,110190,
18.09.2018,110190,110180,110160,110200,
18.09.2018,110200,110230,110200,110270,
18.09.2018,110270,110260,110240,110280,
18.09.2018,110260,110230,110220,110270,
18.09.2018,110230,110240,110230,110240,
18.09.2018,110250,110280,110240,110300,
18.09.2018,110290,110300,110280,110300,
18.09.2018,110310,110340,110310,110360,
18.09.2018,110360,110330,110310,110370,
18.09.2018,110320,110310,110310,110350,
18.09.2018,110320,110310,110300,110330,
18.09.2018,110320,110340,110300,110340,
18.09.2018,110340,110330,110320,110350,
18.09.2018,110320,110290,110290,110320,
18.09.2018,110290,110290,110290,110310,
18.09.2018,110300,110330,110290,110360,
18.09.2018,110350,110350,110350,110360,
18.09.2018,110350,110320,110310,110370,
18.09.2018,110330,110330,110310,110330,
18.09.2018,110330,110290,110250,110330,
18.09.2018,110300,110290,110260,110300,
18.09.2018,110300,110300,110300,110310,
18.09.2018,110310,110310,110300,110320,
18.09.2018,110300,110280,110270,110300,
18.09.2018,110280,110260,110260,110290,
18.09.2018,110270,110300,110260,110310,
18.09.2018,110310,110340,110300,110340,
18.09.2018,110340,110300,110290,110340,
18.09.2018,110300,110330,110280,110330,
18.09.2018,110330,110360,110320,110370,
18.09.2018,110370,110340,110340,110380,
18.09.2018,110350,110390,110350,110400,
18.09.2018,110390,110390,110370,110420,
18.09.2018,110400,110370,110360,110400,
18.09.2018,110370,110360,110340,110370,
18.09.2018,110360,110340,110330,110370,
18.09.2018,110360,110360,110320,110370,
18.09.2018,110360,110330,110330,110360,
18.09.2018,110330,110330,110310,110330,
18.09.2018,110330,110290,110290,110370,
18.09.2018,110280,110300,110260,110310,
18.09.2018,110300,110350,110290,110350,
18.09.2018,110340,110340,110330,110350,
18.09.2018,110350,110340,110330,110360,
18.09.2018,110350,110360,110340,110370,
18.09.2018,110360,110440,110360,110440,
18.09.2018,110430,110440,110430,110490,
18.09.2018,110440,110450,110430,110460,
18.09.2018,110440,110410,110400,110470,
18.09.2018,110410,110380,110380,110420,
18.09.2018,110380,110360,110360,110400,
18.09.2018,110370,110370,110340,110370,
18.09.2018,110370,110340,110340,110370,
18.09.2018,110330,110310,110300,110360,
18.09.2018,110310,110320,110300,110330,
18.09.2018,110330,110260,110250,110330,
18.09.2018,110250,110270,110250,110280,
18.09.2018,110280,110320,110270,110330,
18.09.2018,110320,110330,110310,110340,
18.09.2018,110340,110350,110320,110360,
18.09.2018,110350,110360,110350,110370,
18.09.2018,110370,110440,110370,110460,
18.09.2018,110440,110450,110440,110460,
18.09.2018,110450,110460,110450,110490,
18.09.2018,110450,110480,110450,110480,
18.09.2018,110490,110510,110480,110510,
18.09.2018,110500,110520,110500,110520,
18.09.2018,110510,110480,110480,110510,
18.09.2018,110480,110490,110440,110490,
18.09.2018,110460,110450,110450,110460,
18.09.2018,110450,110480,110450,110480,
18.09.2018,110480,110490,110460,110490,
18.09.2018,110490,110450,110440,110490,
18.09.2018,110460,110500,110460,110500,
18.09.2018,110500,110490,110460,110500,
18.09.2018,110490,110480,110460,110490,
18.09.2018,110480,110430,110430,110500,
18.09.2018,110440,110390,110350,110440,
18.09.2018,110400,110370,110320,110400,
18.09.2018,110330,110390,110320,110470,
18.09.2018,110410,110430,110400,110440,
18.09.2018,110420,110480,110390,110480,
18.09.2018,110470,110490,110440,110500,
18.09.2018,110490,110410,110410,110520,
18.09.2018,110430,110390,110390,110430,
18.09.2018,110410,110410,110410,110460,
18.09.2018,110410,110420,110380,110420,
18.09.2018,110410,110420,110400,110430,
18.09.2018,110400,110430,110400,110440,
18.09.2018,110430,110420,110400,110490,
18.09.2018,110430,110420,110300,110440,
18.09.2018,110510,110570,110500,110600,
18.09.2018,110560,110590,110560,110610,
18.09.2018,110600,110540,110530,110600,
18.09.2018,110500,110480,110470,110500,
18.09.2018,110470,110440,110430,110470,
18.09.2018,110440,110460,110440,110460,
18.09.2018,110460,110430,110430,110460,
18.09.2018,110460,110430,110400,110460,
18.09.2018,110420,110380,110380,110440,
18.09.2018,110380,110360,110350,110410,
18.09.2018,110360,110350,110350,110360,
18.09.2018,110360,110400,110350,110430,
18.09.2018,110430,110390,110390,110450,
18.09.2018,110440,110420,110420,110450,
18.09.2018,110380,110380,110380,110380,
18.09.2018,110440,110390,110390,110460,
18.09.2018,110440,110420,110420,110460,
18.09.2018,110420,110410,110410,110420,
18.09.2018,110400,110380,110380,110400,
18.09.2018,110360,110380,110350,110380,
18.09.2018,110380,110390,110380,110390,
18.09.2018,110370,110420,110370,110420,
18.09.2018,110380,110340,110340,110380,
18.09.2018,110320,110350,110320,110350,
18.09.2018,110350,110350,110320,110460,
18.09.2018,110310,110310,110300,110310,
18.09.2018,110340,110340,110340,110340,
18.09.2018,110310,110300,110300,110310,
18.09.2018,110300,110270,110270,110300,
18.09.2018,110280,110280,110270,110280,
18.09.2018,110280,110260,110260,110280,
18.09.2018,110280,110280,110260,110280,
18.09.2018,110290,110310,110290,110310,
18.09.2018,110310,110290,110290,110310,
18.09.2018,110280,110310,110280,110340,
18.09.2018,110320,110330,110300,110330,
18.09.2018,110290,110300,110290,110300,
18.09.2018,110320,110300,110300,110320,
18.09.2018,110340,110340,110330,110340,
18.09.2018,110330,110350,110330,110350,
18.09.2018,110330,110330,110330,110330,
18.09.2018,110330,110330,110330,110330,
18.09.2018,110300,110320,110300,110320,
18.09.2018,110280,110280,110280,110280,
18.09.2018,110330,110280,110280,110330,
18.09.2018,110280,110240,110240,110280,
18.09.2018,110240,110240,110220,110240,
18.09.2018,110250,110260,110230,110260,
18.09.2018,110240,110230,110230,110240,
18.09.2018,110230,110240,110220,110240,
18.09.2018,110240,110230,110230,110240,
18.09.2018,110220,110220,110180,110230,
18.09.2018,110230,110220,110220,110240,
18.09.2018,110230,110250,110230,110260,
18.09.2018,110260,110250,110240,110260,
18.09.2018,110260,110170,110170,110260,
18.09.2018,110200,110190,110170,110220,
18.09.2018,110220,110180,110180,110220,
18.09.2018,110200,110220,110200,110220,
18.09.2018,110190,110180,110180,110190,
18.09.2018,110180,110200,110180,110200,
18.09.2018,110200,110180,110170,110200,
18.09.2018,110200,110170,110170,110200,
18.09.2018,110180,110210,110180,110210,
18.09.2018,110230,110180,110180,110230,
18.09.2018,110180,110180,110180,110180,
18.09.2018,110190,110140,110140,110190,
18.09.2018,110140,110120,110120,110160,
18.09.2018,110140,110120,110120,110150,
18.09.2018,110140,110130,110110,110140,
18.09.2018,110150,110130,110120,110150,
18.09.2018,110130,110140,110130,110150,
18.09.2018,110140,110150,110130,110150,
18.09.2018,110160,110180,110160,110200,
18.09.2018,110200,110200,110190,110200,
18.09.2018,110200,110180,110180,110200,
18.09.2018,110180,110170,110170,110180,
18.09.2018,110180,110150,110150,110180,
18.09.2018,110150,110160,110150,110160,
18.09.2018,110140,110140,110140,110140,
18.09.2018,110130,110100,110100,110140,
18.09.2018,110130,110100,110100,110130,
18.09.2018,110100,110100,110100,110100,
18.09.2018,110090,110040,110020,110090,
18.09.2018,110060,110080,110050,110080,
18.09.2018,110060,110120,110060,110160,
18.09.2018,110150,110150,110100,110150,
18.09.2018,110110,110060,110060,110130,
18.09.2018,110060,110090,110060,110090,
18.09.2018,110110,110080,110080,110110,
18.09.2018,110080,110070,110070,110080,
18.09.2018,110110,110080,110080,110110,
18.09.2018,110120,110130,110120,110130,
18.09.2018,110170,110170,110130,110180,
18.09.2018,110170,110140,110140,110170,
18.09.2018,110180,110170,110140,110190,
18.09.2018,110160,110160,110140,110160,
18.09.2018,110170,110180,110170,110180,
